State,Q1 R,Q2 R,Q3 R,Q4 R
AK,566133.03,551972.16,655755.45,560695.65
AL,2014888.02,1938801.02,1814839.68,1885497.86
AR,1095521.38,1308165.44,1405043.21,1239476.1
AZ,6909490.37,6773982.53,6846764.39,6236756.1
CA,26367975.23,25276182.64,25367618.17,25919828.29
CO,4779288.13,3893932.24,4128473.01,3498629.62
CT,5848636.63,6467333.85,6117091.94,5990451.85
DC,330624.79,383557,310341.49,329682.12
DE,684420.07,675088.65,683158.37,600382.18
FL,5526237.88,6596353.88,5947379.63,4997088.07
GA,2866226.46,3555279.07,3135456.33,3244240.16
HI,698270.53,629508.3,535901.95,465843.32
IA,1295661.26,1282794.06,1104195.99,1215650.75
ID,1244581.07,1282867.62,1250738.38,1248754.62
IL,6978167.16,5509804.94,5384282.19,4961642.3
IN,13444442.98,11190048.46,10593761.42,10963653.24
KS,1978101.6,4339446.51,1616588.57,1681617.2
KY,5703656.28,5814727.55,4203164.34,5862403.15
LA,3750988.75,4258417.88,4313973.98,4048341.97
MA,4473279.77,5147351.91,5008816.88,5026268.94
MD,4935116.87,5694254.64,5299845.43,5536029.34
ME,844275.97,863871.94,950181.25,1152382.39
MI,15518333,16514090.1,18003417.06,15725286.3
MN,6152327.71,5933550.93,5572357.04,5837559.46
MO,8426206.97,8648651.92,9262643.78,8844328.01
MS,1571045.11,1456048.68,1382775.35,1355520.47
MT,1269106.66,1286265.95,1254043.55,1352693.24
NC,6737070.76,5396394.55,6077085.38,5099241.88
ND,518774.19,500567.28,450199.2,449019.51
NE,985088.3,798153.17,875039.16,924837.33
NH,467823.47,601694.48,632893.99,680835.86
NJ,4453936.7,4196319.13,4170866.59,3814837.76
NM,1703078.83,2307695.18,2161983.88,1991533.1
NV,2025694.17,1843368.87,1844482.51,1811876.66
NY,16194228.26,17305652.05,17208457.88,17980395.78
OH,21970268.77,25587019.02,18333247.96,17055343.71
OK,1893572.85,1925306.03,1893335.78,1798789.93
OR,5980952.31,5793043.13,5655863.72,5374425.23
PA,11973615.94,18124159.58,12512446.63,12565151.26
RI,959994.72,1034943.81,1016939.75,986446.89
SC,796871.54,771502.58,844934.64,949607.67
SD,303364.16,247431.05,224818.1,263716.27
TN,3090117.7,3758605.44,3499564.49,3698730.96
TX,7598037.52,7487691.37,7340035.83,7399896.64
UT,1222123.89,1577303.94,1573702.75,1377335.5
VA,3572119.22,3219356.28,2987230.89,2990662.13
VT,793597.62,938647.61,937048.16,924276.68
WA,4121321.87,3662562.85,5084173.96,3883081.12
WI,5761956.98,6449822.45,6238188.99,6029943.54
WV,2916747.72,3804992.71,2189138.63,3347837.49
WY,145155.11,188755.78,183818.66,177391.51
